type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.060047658	120.763226103	163.6						
T	14.059441653	120.762402643	158.8						
T	14.059036149	120.761578036	156.3						
T	14.058432379	120.761168024	150.1						
T	14.058029116	120.760756867	149.8						
T	14.056819310	120.759523386	155.2						
T	14.056013891	120.758907792	155.3						
T	14.055211851	120.758912386	147.0						
T	14.054209299	120.758918125	138.3						
T	14.053408384	120.759129439	141.8						
T	14.053011878	120.759958641	147.6						
T	14.053215773	120.760577672	148.2						
T	14.053224788	120.762231462	168.9						
T	14.053430924	120.763263921	172.7						
T	14.053637054	120.764296377	165.8						
T	14.054044805	120.765534397	176.9						
T	14.054253162	120.766980265	187.1						
T	14.054261001	120.768427254	188.0						
T	14.054667604	120.769458534	192.6						
T	14.054873694	120.770490945	201.5						
T	14.054880391	120.771731196	223.0						
T	14.055086469	120.772763593	234.5						
T	14.055496382	120.774414961	270.5						
T	14.056107890	120.776271881	322.2						
T	14.056513332	120.777096419	320.4						
T	14.057321984	120.778332085	335.5						
T	14.057927912	120.779155485	364.9						
T	14.058736543	120.780391147	407.7						
T	14.060145553	120.781416709	346.0						
T	14.060752562	120.782446806	364.3						
T	14.061358463	120.783270202	410.2						
T	14.061762760	120.783888032	441.7						
T	14.062973439	120.785328130	448.5						
T	14.063376629	120.785739264	435.3						
T	14.064385696	120.786973797	407.4						
T	14.065190968	120.787589369	422.8						
T	14.065997333	120.788411643	458.9						
T	14.067407366	120.789643926	420.6						
T	14.068213720	120.790466205	400.3						
T	14.069224934	120.792114152	358.0						
T	14.070432264	120.792934185	338.4						
T	14.070835434	120.793345331	328.3						
T	14.071844445	120.794579895	336.3						
T	14.072649688	120.795195492	313.2						
T	14.073860271	120.796635646	313.8						
T	14.074669856	120.798078054	354.8						
T	14.075480519	120.799727170	360.9						
T	14.076490582	120.801168473	362.5						
T	14.077097483	120.802198621	355.5						
T	14.077703298	120.803022072	352.3						
T	14.078511770	120.804257815	350.1						
T	14.079319157	120.805286863	322.9						
T	14.080127622	120.806522623	334.9						
T	14.081740227	120.808167351	345.7						
T	14.082547607	120.809196431	323.1						
T	14.083353909	120.810018813	326.1						
T	14.085167012	120.811662491	369.2						
T	14.085771739	120.812279294	374.2						
T	14.086576967	120.812894995	382.2						
T	14.087384346	120.813924126	395.0						
T	14.087787499	120.814335339	391.7						
T	14.088795384	120.815363381	391.0						
T	14.089400115	120.815980213	390.5						
T	14.090206425	120.816802663	405.6						
T	14.090811158	120.817419506	414.7						
T	14.091217532	120.818450892	420.1						
T	14.091422330	120.819276665	423.5						
T	14.091427692	120.820310260	426.7						
T	14.091834064	120.821341662	431.3						
T	14.091839421	120.822375262	438.5						
T	14.092044209	120.823201050	446.9						
